title,degree,option,campus
Accounting,Bachelor of Commerce,Specialist,STG
Actuarial Science,Honours Bachelor of Science,"Specialist, Major",STG
African Studies,Honours Bachelor of Arts,"Specialist, Major, Minor",STG
American Studies,Honours Bachelor of Arts,"Major, Minor",STG
Animal Physiology,Honours Bachelor of Science,Major,STG
Anthropology,Honours Bachelor of Science,Major,STG
Anthropology,Honours Bachelor of Science,Specialist,UTM
Anthropology,Honours Bachelor of Arts,"Specialist, Major",UTSC
Anthropology,Honours Bachelor of Science,"Specialist, Major, Minor",UTSC
Anthropology,Honours Bachelor of Arts,"Specialist, Major, Minor",STG
Anthropology,Honours Bachelor of Arts,"Specialist, Major, Minor",UTM
Applied Mathematics,Honours Bachelor of Science,Specialist,STG
Applied Statistics,Honours Bachelor of Science,"Specialist, Major, Minor",UTM
Archaeology,Honours Bachelor of Arts,Specialist,STG
Architectural Studies,Honours Bachelor of Arts,"Specialist, Major",STG
Art and Art History (joint program with Sheridan College),Honours Bachelor of Arts,"Specialist, Major",UTM
Art History,Honours Bachelor of Arts,"Specialist, Major, Minor",STG
Art History,Honours Bachelor of Arts,"Specialist, Major, Minor",UTM
Art History and Visual Culture,Honours Bachelor of Arts,"Major, Minor",UTSC
Arts Management,Honours Bachelor of Arts,"Specialist, Major",UTSC
Astronomical Sciences,Honours Bachelor of Science,Specialist,UTM
Astronomy,Honours Bachelor of Science,Major,UTM
Astronomy and Astrophysics,Honours Bachelor of Science,"Major, Minor",STG
Astronomy and Physics,Honours Bachelor of Science,Specialist,STG
"Behaviour, Genetics and Neurobiology",Honours Bachelor of Science,Specialist,UTM
Biochemistry,Honours Bachelor of Science,"Major - coop, Major",UTSC
Biochemistry,Honours Bachelor of Science,"Specialist, Major",STG
Biodiversity and Conservation Biology,Honours Bachelor of Science,Major,STG
Bioethics,Honours Bachelor of Arts,"Specialist, Major, Minor",STG
Bioinformatics,Honours Bachelor of Science,Specialist,UTM
Bioinformatics and Computational Biology,Honours Bachelor of Science,Specialist,STG
Biological Chemistry,Honours Bachelor of Science,"Specialist - coop, Specialist",UTSC
Biological Chemistry,Honours Bachelor of Science,Specialist,STG
